firma,sektor,obor,role,kontakt,stitky,scan,scan2,zverejnit
"Siemens Energy, s.r.o",Energetika,Projekty v oblasti energetiky a průmyslu,Daňový specialista/Tax Specialist,,Použitelné podklady; Rychlost; Reporting,full-12.jpg,,ano
"Aisan Industry Czech, s.r.o",Automotive,"Výroba automobilových komponent, benzínových čerpadel.",Specialista údržby forem,,Přesnost profilů; Použitelné podklady; Rychlost,full-13.jpg,,ano
"Panasonic Automotive Systems Czech, s.r.o",Automotive,Výroba audiovizuální techniky pro automobilový průmysl.,"Výroba, Logistika, Nákup, Kvalita, IT oddělení",,Přesnost profilů; Použitelné podklady; Rychlost,full-14.jpg,,ano
"SITEL, spol. s.r.o",Průmyslová výroba,Systémový integrátor - komplexní a systémové řešení v oboru,"Technik datového centra, Technik řízení havarijních zásahů, Stavbyvedoucí, Technik silnoproud/slaboproud",,Přesnost profilů; Použitelné podklady; Rychlost,full-15.jpg,,ano
Safran Cabin CZ s.r.o,Letecký a kosmický průmysl,"mezinárodní společnost působící v leteckém, obranném a kosmickém průmyslu","Manažerské pozice, specialisté napříč oddělenými, THP pozice, výroba",,Použitelné podklady; Rychlost; Reporting,full-16.jpg,,ano
"Sécheron Hasler CZ, spol. s.r.o",Železniční průmysl,Výroba komponentů pro trakční kolejová vozidla a stacionární zařízení pro DC trakci.,"Manažerské pozice, specialisté napříč odděleními, THP pozice, výroba",,Přesnost profilů; Použitelné podklady; Rychlost,full-17.jpg,,ano
Vitesco Technologies Czech Republic s.r.o,Elektrotechnika a kabely,Výroba elektronických a elektrických výrobků pro automobilový průmysl,Category Manager FM,,Přesnost profilů; Použitelné podklady; Rychlost,full-18.jpg,,ano
R+S Automotive CZ s.r.o,Automotive,"Strojírenská společnost, zabývající se výrobou stavbou nástrojů, modelů a forem pro automobilový průmysl a je také dodavatelem inteligentních koncepcí v oblasti strojů a zařízení pro výrobu produktů ve formě pásů, podlahové krytiny, fólie a technické textilie",Lean Specialista,"Jana Kubalova, Vedouci personalniho tiseku",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-19.jpg,,ano
Nestlé Česko s.r.o,Potravinářství,"Výroba čokolád a cukrovinek značek Orion, Zora a Sfinx, kulinářských výrobků Maggi, kávy Nescafé a krmiv Purina,","Produktový o procesní specialista, Bezpečnostní technik","David Majiur, Specialista personalni administrativy",Přesnost profilů; Použitelné podklady; Rychlost,full-20.jpg,,ano
Winning Group a.s,Průmyslová výroba,"stavitelství, development, inženýrské služby",Obchodní ředitel,"Mgr. Rita Khachatryan, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-21.jpg,,ano
ZF Passive Safety Czech s.r.o,Průmyslová výroba,"Výroba bezpečnostních pásů, zámků, západek a horních nastavení","Manažer zákaznické kvality, Inženýr dodavatelské kvality, Inženýr výrobní kvality, Packing Cell Leader, FMEA Specialist, Transport Specialist, Finanční Controller, Setter, Manufactruing Enginner, Manufacturing Engineer (Tracibilita), Engineering Supervisor (Tracibilita), New Project Logistics Specialist, Měrový technik/3D Technician","Ivana Dereninova, Human Resource",Přesnost profilů; Použitelné podklady; Reporting,full-22.jpg,,ano
ČD - Telematika a.s,Průmyslová výroba,ICT řešení a telekomunikační služby,Specialista ETCS,"Radka Naprstkova, Personalista",Přesnost profilů; Použitelné podklady; Rychlost,full-23.jpg,,ano
MADETA a.s,Potravinářství,potravinářská společnost zabývající se zpracováním mléka a výrobou mléčných výrobků,Technolog,"Pavel Buryanek, Personalni feditel",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-24.jpg,,ano
"Omega Optix, s.r.o",Sklo a optika,VÝROBNÍ A DISTRIBUČNÍ SPOLEČNOST V OBLASTI OČNÍ OPTIKY,"Maintenance Supervisor, Servisní technik","Bc. Martina Filipova, HR officer",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-25.jpg,,ano
Explosla a.s,Chemie a vlákna,český výrobce výbušnin,Obchodní ředitel,"Lucie Poavatova, DiS.",Přesnost profilů; Použitelné podklady; Reporting,full-26.jpg,,ano
MOBIS Automotive System Czech s.r.o,Automotive,; Výrobce světlometů pro vozidla společnosti Hyundai a Kia,"Vedouci výroby elektrobaterií, Specialista výroby elektrobaterií, Specialista oddělení údržby","Jana Elidsova, Human Resources Department",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-27.jpg,,ano
Nestlé Česko s.r.o,Potravinářství,"Výroba čokolád a cukrovinek značek Orion, Zora a Sfinx, kulinářských výrobků Maggi, kávy Nescafé a krmiv Purina.",Obalový specialista s ANJ,,Přesnost profilů; Použitelné podklady; Pochopení zadání,full-28.jpg,,ano
"AKT plastikářská technologie Čechy, spol.s.r.o",Plasty a pryž,AKT je výrobcem plastových dílů pro aut. průmysl a bílé techniky,"Key Account Manager Automotive s NJ, Hlavní Účetní","Kontaktni soba: Markéta Markalousova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-29.jpg,,ano
MemBrain s.r.o,Průmyslová výroba,"Výzkumná, inženýrsko-technologická společnost zaměřující se na základní a aplikovaný výzkum v oblasti membránových procesů.",Projektant elektro,"Lenka KoSatova, Personalistka",Přesnost profilů; Použitelné podklady; Rychlost,full-30.jpg,,ano
ZF Electronics Klášterec s.r.o,Automotive,Výroba výkonových jednotek do automobilového průmyslu,"Vedoucí výroby SMT, Technolog SMT, Electronics Engineer, Projektant testovacích zařízení a systémů, Procesní inženýr, Mechanik/seřizovač, Metrolog, Specialista/technik výroby, Inženýr kvality, HR Manager, Personalista, Back Office Manager","PhDr. Ivana Olivova, Interim HR Manager",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-31.jpg,,ano
Fuji Koyo Czech s r.o,Automotive,Výroba sloupků řízení do osobních a nákladních automobilů,Manažer kvality,"Stefan Varga, HR Manager",Přesnost profilů; Použitelné podklady; Reporting,full-32.jpg,,ano
DŮRR SYSTEMS CZECH REPUBLIC a.s,Průmyslová výroba,"Vývoj, výroba, prodej a servis zařízení pro povrchovou úpravu tekutými a práškovými nátěrovými hmotami.",Technical Customer Support Engineer s ANJ,"Tomas Kvaka, CFO / Finanéni feditel",Použitelné podklady; Rychlost; Pochopení zadání,full-33.jpg,,ano
"Openmatics, s.r.o",Průmyslová výroba,Vývoj a provoz otevřené platformy a aplikací za účelem poskytování,"Head of Firmware and IOT Application, Operation Administrator, Cloud Architect, Product Manager, Application Developer, Customer Service Advisor, System Engineer, Box Developer, Cloud Frontend Developer, Java Developer, Senior Project Manager, Technical and solution analyst","Hana Mrkvanova, Human Resources",Přesnost profilů; Použitelné podklady; Reporting,full-34.jpg,,ano
JTEKT Automotive Czech Pardubice s.r.o,Automotive,Výroba přesných mechanických dílů do převodovek a řízení osobních automobilů.,"Finanční ředitel, Hlavní účetní |","Monika Lukacova, Human Resource",Přesnost profilů; Použitelné podklady; Reporting,full-35.jpg,,ano
Continental Automotive Czech Republic s.r.o. - Plant,Elektrotechnika a kabely,Výroba automobilové elektroniky,"Inženýr kvality, Test engineer","Ing. Gabriela Opletalova, HR department",Přesnost profilů; Použitelné podklady; Reporting,full-36.jpg,,ano
Saint-Gobain Sekurit ČR spol. s r.0,Automotive,Výroba laminovaných bezpečnostních automobilových skel Í,PLC Programátor l,"Lenka Holmanova, Human Resources",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-37.jpg,,ano
SANBORN a.s,Chemie a vlákna,"Strojírenství - Výroba dílů pro zařízení v energetice, petrochemii a dopravě.","Engineering, Production","Petra Urbankova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-38.jpg,,ano
Mlékárna Klatovy a.s,Průmyslová výroba,"Výroba a prodej mléčných výrobků, tavenych, přírodních a salámových sýrů.",Manažer výroby,"Ing. Romana Richterova, HR Manager",Přesnost profilů; Použitelné podklady; Reporting,full-39.jpg,,ano
MAHLE Behr Holýšov s.r.o,Automotive,"Výrobce komponentů a systémů pro spalovací motory, klimatizace a chlazení motorů.","Vedoucí nástrojárny, Technolog vstřikovny, Process Engineer, Specialista 3D měření, Finanční Controller, Inženýr kvality, Office Manager","Zdenka Mihalikova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-40.jpg,,ano
"Poděkování společnosti Sintera Czech s.r.o., se sídlem Praha 5,",Průmyslová výroba,,,,Přesnost profilů; Použitelné podklady; Rychlost,full-41.jpg,,ano
"KDK Automotive Czech, s.r.o",Plasty a pryž,Výroba plastových dílů pro automobilový průmysl,"Vedoucí výroby montáže, Manažer údržby","Kamila Fojtitkova, HR Manager",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-42.jpg,,ano
"OLBRICH - CZ, spol. s r.o",Automotive,Výroba strojů a zařízení pro automobilový průmysl.,"Vývojový konstruktér, Zástupce elektro oddělení, PLC Programátor","Jana Kubalova, Vedouci personéintho Useku",Přesnost profilů; Použitelné podklady; Reporting,full-43.jpg,,ano
Danzer Bohemia-Dýhárna s.r.o,Průmyslová výroba,"výroba a prodej dýhy, podlahových lamel a dýhových sesazenek,",Software Engineer/Programátor,"Kontaktai asoba: Alice Dolanské, Head of Human Resources",Přesnost profilů; Rychlost; Reporting,full-44.jpg,,ano
"Swoboda - Stamping, s.r.o",Automotive,Výroba pro automobilový průmysl.,Manažer kvality,"Martin Pastriak, Head of Financial and HR Department",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-45.jpg,,ano
MANN+ HUMMEL Service s. r. 0,Automotive,automotive,"Project Manager Senior, Project Manager Junior","Radka Breckova, HR Services",Přesnost profilů; Použitelné podklady; Rychlost,full-46.jpg,,ano
TRW-Carr s.r.o,Průmyslová výroba,"Výroba bezpečnostních pásů, zámků, západek a horních nastavení","Inženýr kvality, Inženýr zákaznické kvality, Inženýr výrobní kvality, Manufacturing Engineer, COP Test Engineer, Setter, Elektrotechnik, Logistics Specialist, HR Specialist, Manažer skladu a interní logistiky","Katefina Kosinkové, Human Resources",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-47.jpg,,ano
"ITW PRONOVIA, s;7.0",Plasty a pryž,Výroba plastových dílů pro automobilový průmysl,"Procesní inženýr s ANJ, Project manager","Alena Safaiikové, HR Business Partner",Přesnost profilů; Použitelné podklady; Reporting,full-48.jpg,,ano
"Aisan Industry Czech, s.r.o",Automotive,Výroba automobilových komponent,Industrial Engineer/Primyslovy inženýr,"Vaclav Douda, HR and GA Senior Manager",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-49.jpg,,ano
"Kermi, s. r. 0",Průmyslová výroba,Výroba koupelnového a sanitárního vybavení,Vedoucí konstrukce s NJ,"Véra Ulipova, personalni oddéleni",Přesnost profilů; Použitelné podklady; Reporting,full-50.jpg,,ano
"Mubea spol. s.1,0",Automotive,Specialista na odlehčené konstrukce a pružinové komponenty a podobné Výrobky do automobilového průmyslu,"Project Manager s anglickým jazykem, PLC Software Engineer, Project Engineer, Lean Specialist, Konstruktér","Michaela Janoudkova, Human Resources",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-51.jpg,,ano
MAHLE Behr Holýšov s.r.o,Automotive,Výroba termostatů pro automobilový průmysl.,"Inženýr kvalty, Vedoucí projektů, Specialista 3D měření, Personalistka se zpracováním mezd, Seřizovač vstřikolisů","Zdenka Mihalikova, HR manager",Přesnost profilů; Použitelné podklady; Rychlost,full-52.jpg,,ano
"neumatic cz, s.r.o. / Leoni",Elektrotechnika a kabely,elektroprůmysl,Specialista plánování výroby s ANJ,"Robert Smutny, Reditel spolecnosti",Přesnost profilů; Použitelné podklady; Reporting,full-53.jpg,,ano
"Bombardier Transportation Czech Republic, a.s",Železniční průmysl,"Výroba a údržba kolejových vozidel. Regionální a vysokorychlostní vlaky, tramvaje, metro, příměstská doprava, lokomotivy.","BID Manager, Projektový nákupčí, Projektový manažer, HR specialista, Manažer komunikace, Problem Solving Engineer, Technolog Senior, HR Analytik, Svařovací inženýr IWE/EWE, Supervisor výroby","Kontaktni csoba: Olga Revutska, HR Business Partner",Přesnost profilů; Použitelné podklady; Rychlost,full-54.jpg,,ano
ZODIAC GALLEYS EUROPE S.R.O,Průmyslová výroba,Výroba letadlových interiérů.,"Certifikační inženýr, Engineering Group Leader/Vedouci konstrukce","Jifl Hrabak, Recruiter",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-55.jpg,,ano
"GCE, s.r.o",Průmyslová výroba,"Evropský výrobce redukčních ventilů a průtokoměrů,",Vývojový konstruktér,"Adéla Bělohlávková, Head of HR Department",Použitelné podklady; Pochopení zadání; Reporting,full-56.jpg,,ano
M. A. S. Automation a.s,Logistika a doprava,spoločnosti: Kompletní řešení v oblasti automatizace vnitropodnikové logistiky.,"Vývojový konstruktér, Projektový manažer se znalostí německého jazyka, Programátor PLC Senior","Martina Scherbaum, Reditelka oblasti financ! & HR",Použitelné podklady; Rychlost; Pochopení zadání,full-57.jpg,,ano
CertiCon a.s,Průmyslová výroba,"Vývoj, verifikace a testování softwaru.",Java Developer / Teamleader / SW Architekt,"Andrea Kolaiikova, HR Specialist",Přesnost profilů; Použitelné podklady; Rychlost,full-58.jpg,,ano
"Openmatics, s.r.o",Průmyslová výroba,Vývoj a provoz otevřené platformy a aplikací za účelem poskytování,"Key Account Manager EMEA se znalostí německého jazyka, Java Developer, C/C++ Developer, Senior IT Project Manager, ICT and IS Specialist","Gabriela Cermakova, Human Resource",Přesnost profilů; Použitelné podklady; Reporting,full-59.jpg,,ano
Internet Shop s.r.o. - Parfums.cz,Kosmetika,"Internetová parfumerie, která nabízí originální značkové parfémy a kosmetiku","NET/C# Developer Senior, NET/CH Developer Junior","Milo Marcinek, IT Recruiter",Přesnost profilů; Použitelné podklady; Rychlost,full-60.jpg,,ano
KDK Automotive czech s.r.o,Plasty a pryž,Dodavatel plastových dílů a systémů pro automobilový průmysl,Vedoucí technologie,"Ing. Kamila Fojti¢kova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-61.jpg,,ano
Voith Industrial Services s.r.o,Elektrotechnika a kabely,"Elektroinstalace včetně revizí, oprav i montáží vyhrazených elektrických zařízení včetně automatizace kompletních robotizovaných pracovišť a výrobních linek.",Projektový specialista / elektro,"Ing. Dana Kota, Finanéni jeditel/Prokurista",Přesnost profilů; Použitelné podklady; Reporting,full-62.jpg,,ano
Konplan s.r.o,IT a software,"Strojní konstrukce, elektrokonstrukce a programování PLC, IT projektové inženýrství pro oblast strojírenství a automobilového průmyslu","SW Developer, Konstruktér, PLC Programátor, Vedoucí projektů, Projektový vedoucí PLC, JAVA Developer","Lenka Vavrova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-63.jpg,,ano
TRW Carr s.r.o. Stará Boleslav,Průmyslová výroba,"Výroba bezpečnostních pásů, zámků, západek a horních nastavení,","Inženýr kvality - Senior, Inženýr kvality - Junior, Inženýr elektro / Technik pro ACR technologie a COP","Mar. Jana Jurnikova, Recruiter / PR Specialist",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-64.jpg,,ano
Konplan s.r.o,IT a software,"Strojní konstrukce, elektrokonstrukce a programování PLC, IT projektové inženýrství pro oblast strojírenství a automobilového průmyslu","SW Developer, Konstruktér, PLC Programátor, Vedoucí projektů, Projektový vedoucí PLC, JAVA Developer","Lenka Vavrova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-65.jpg,,ano
"Swoboda - Stamping, s.r.o",Automotive,Výroba pro automobilový průmysl.,Manažer kvality,"pan Martin Pastriiak, Head of Financial and HR Department",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-66.jpg,,ano
"Kermi, s. r. 0",Průmyslová výroba,Výroba koupelnového a sanitárního vybavení,"SeniorC#/.NET developer, ABAP Developer","Véra Ulipova, personaini oddéleni",Přesnost profilů; Použitelné podklady; Rychlost,full-67.jpg,,ano
A.RAYMOND JABLONEC s.r.o,Plasty a pryž,"Výroba speciálních systémů, plastových příchytek pro automobily","Produkt Manager, Technolog vstřikování plastů","Radka Tomandlova, HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-68.jpg,,ano
Skaličan a.s,Potravinářství,Potravinářství,Obchodní manažer pro klíčové zákazníky,"Viasta Walterova, Persondini oddéleni",Použitelné podklady; Rychlost; Reporting,full-69.jpg,,ano
"Glenmark Pharmaceuticals, s.r.o",Farmacie a zdravotnictví,Farmaceutický průmysl,,"Ing. Lenka Galetkova, Human Resources Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-70.jpg,,ano
"IMPACT INDUSTRY BRNO, a.s",Strojírenství,"Strojírenství, výroba ocelových konstrukcí a náročných svařenců",Vedoucí výroby - svařování,"Josef Stastny, Human Resources Manager",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-71.jpg,,ano
"Edwards, s.r.o",Farmacie a zdravotnictví,"Dodavatel komplexních vakuových a filtračních řešení pro výrobce polovodičů, plochých obrazovek, LED a solárních článků. Výrobce vakuových technologií pro strojírenství, potravinářský, farmaceutický, chemický, sklářský průmysl, metalurgii, energetiku a nejrůznější aplikace Ve vědě a výzkumu.",Kvalita (procesní/zákaznická/dodavatelská),,Přesnost profilů; Použitelné podklady; Rychlost,full-72.jpg,,ano
"Openmatics, s.r.o",Průmyslová výroba,Vývoj a provoz otevřené platformy a aplikací za účelem poskytování,Operations Manager,"Gabriela Čermáková, Human Resources",Přesnost profilů; Použitelné podklady; Reporting,full-73.jpg,,ano
SpofaDental a.s,Průmyslová výroba,Výroba dentálních materiálů,Commodity Buyer s ANJ,"Jana Jiroudkova, HR Manager",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-74.jpg,,ano
"Faurecia Emissions Control Technologies, Mladá",Automotive,Výroba výfuků a výfukových komponent pro automotive,"Project Manager, Procesní Inženýr, Logistika - Customer Contact, Supervizor výroby, Supervisor logistiky","Ing. Ludvik Dvofak, Ph.D - HR Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-75.jpg,,ano
JTEKT Automotive Czech Plzen s.r.o,Automotive,společnostl:Výroba systému řízení pro osobní automobily.,"ProcessEngineer, SupplierQualityEngineer","Kontaktn{ osoba: MartinaSchejbalova, AssistaniManager HumanResorces",Přesnost profilů; Použitelné podklady; Reporting,full-76.jpg,,ano
Glanzstoff Bohemia s.r.o,Chemie a vlákna,"V roba visk zov ch vláken a zpracován textiln ch vláken, polyesteru, nylonu a aramidu. Kontaktn osoba: Monika leierová, Personalista, tel: +420 416 575 112",,"Monika Sleierova, Personalista",Přesnost profilů; Použitelné podklady; Rychlost,full-77.jpg,,ano
Gerresheimer Horsovsky Tyn spol. s r.o,Farmacie a zdravotnictví,Výroba plastových produktů pro farmaceutický průmysl a zdravotnictví,v naší společnosti relevantní,"Ing. Romana Richterova, Human Resources Specialist",Přesnost profilů; Použitelné podklady; Reporting,full-78.jpg,,ano
Bombardier Transportation Czech Republic a.s,Strojírenství,Strojírenství,"Výroba, Technologie, HR","Stanislava Rejdovd, Head of Staffing & Payroll",Přesnost profilů; Použitelné podklady; Reporting,full-79.jpg,,ano
ZODIAC GALLEYS EUROPE S.R.O,Letecký a kosmický průmysl,Letecký průmysl.,Lean Specialist in Aerospace Industry,"Lenka Mikulové, Human Resources/Personélni oddéleni",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-80.jpg,,ano
Konplan s.r.o,IT a software,"Konstrukce, elektroprojekce a programování PLC a IT projektové inženýrství",SW Developer,"Mgr. Lena Vajdova, Personalni manazerka",Přesnost profilů; Použitelné podklady; Reporting,full-81.jpg,,ano
Draka Kabely s.r.o,Elektrotechnika a kabely,"Výroba a prodej kabelů, autovodičů a kabelových svazků.",Manažer výroby a Procesní inženýr pro výrobu elevator svazků,"Petra Urbankova, Human Resaurces/Personalni oddéleni",Přesnost profilů; Použitelné podklady; Rychlost,full-82.jpg,full-82b.jpg,ano
"Meopta - optika, s.r.o",Elektrotechnika a kabely,"Návrh, vývoj, konstrukce, výroba a montáž optických, optomeciianických a Optoelektronických systémů. Výroba technologicky náročných optických celků, jako např. přesné lékařské a vědecké přístroje, přstroje pro digitální filmovou projekci, výroba optiky pro vesmírné výzkumy, armádní zbraňové systémy a optika pro spotřební sportovní výrobky.",,"Ing. Lucie Klaskova, Manazer personalistiky a mezd",Přesnost profilů; Použitelné podklady; Rychlost,full-83.jpg,,ano
"Inteva Products Czech Republic, a.s",Automotive,Montáž komponentů pro automobilový průmysl.,"Personální audit, HR poradenství, obsazování pozic formou přímého vyhledávání kandidátů - Direct/Executive Search (kvalita, technologie, výroba, finance, konstrukce, údržba). Období: červen - srpen 2013","Zuzana Tomíčková, Regional HR Manager EE",Přesnost profilů; Použitelné podklady; Rychlost,full-84.jpg,,ano
"Inteva Products Czech Republic, a.s",Automotive,montáž dílů pro automobilový průmysl,"Tooling Specialist, Advanced Quality Engineer, Customer Quality Assurance, Supplier Quality Assurance, Quality Engineer, CAD Konstruktér, CMM Technician",Zuzana Tomitkova,Použitelné podklady; Rychlost; Reporting,full-85.jpg,,ano
"GRUPO ANTOLIN Turnov, s.r.o",Plasty a pryž,"Výroba plastových, pryžových a čalounických výrobků. Provádění výzkumu a vývoje v oblasti plastů a automobilového průmyslu. :",Project Tooling Engineer s ANJ,"Kamila Andrlová, HR Manager",Použitelné podklady; Reporting,full-86.jpg,,ano
Reference na úspěšnou spoluprácí při obsazování volných pozic formou ptimého,Průmyslová výroba,výroba rozměrově přesnýee © ouhiedově nevotmicn old am,,,Přesnost profilů; Použitelné podklady; Rychlost,full-87.jpg,full-87b.jpg,ano
BRONSWERK HEAT,Chemie a vlákna,"Výroba vzduchem chlazených výměníků a kondenzátorů, zařízení pro skladování a přepravu technických plynů a dalších chemicko-technologických zařízení",Technolog svařování IWE (Mezinárodní svářečský inženýr),"Ing. Martin Némec, Technicky feditel",Přesnost profilů; Použitelné podklady; Rychlost,full-88.jpg,,ano
Konzultant zodpovědný za službu přímého vyhledávání kandidátů pro | společnost,Automotive,automotive,"Key Account Manager s NJ, automotive","Petra Balicka, personalni oddéleni",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-89.jpg,,ano
LINET spol. s r.o,Průmyslová výroba,Výroba pomůcek pro lékařskou péči,Country Manager - INDIA Manager pro mezinárodní prodejní strategie Projektový manažer - elektro vývoj,Jifi Besta,Přesnost profilů; Použitelné podklady; Rychlost,full-90.jpg,full-90b.jpg,ano
Masokombinát,Průmyslová výroba,Výroba masných výrobků,Technolog,"Mgr. Lucie Baronova, persondilni feditel",Použitelné podklady; Rychlost; Reporting,full-91.jpg,,ano
MEGATECH Industries Jablonec s.r.o,Automotive,"výroba, obchod a služby v automotive","Technolog výroby, Technik kvality",Gabriela Zitkova,Použitelné podklady; Rychlost; Reporting,full-92.jpg,,ano
A.RAYMOND JABLONEC s.r.o,Průmyslová výroba,výroba a prodej speciálních upínacích systémů,"Vývojový technolog, CAD Designer",Hana Simaitova,Přesnost profilů; Použitelné podklady; Rychlost,full-93.jpg,full-93b.jpg,ano
Draka Kabely s.r.o,Elektrotechnika a kabely,"Výroba kabelů, vodičů, autovodičů a kabelových svazků.",R & D Engineer,"Petra Urbankova, Human Resources/Personalni oddéleni",Přesnost profilů; Použitelné podklady; Rychlost,full-94.jpg,,ano
AMTEK Precision Engineering Czech Republic s.r.o,Elektrotechnika a kabely,"Lisování kovů a plechů převážně pro elektrotechnický, automobilový a další průmysl.","Kvalita, nákup, výroba","Ivan Vojta, HR Manager",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-95.jpg,,ano
"MEA MEISINGER, s.r.o",Průmyslová výroba,"Výroba mřížových roštů, specialista na žárové zinkování |",Technolog - specialista |,"Ing, Karel Hron",Přesnost profilů; Použitelné podklady; Rychlost,full-96.jpg,full-96b.jpg,ano
GTW BEARINGS s.r.o,Průmyslová výroba,"Vývoj, konstrukce a výroba kluzných kornpazicovych ložisek.",Technolog - specialista,"JUDr. Lucie Menclové, Legislative Department Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-97.jpg,,ano
"Aisan Industry Czech, s.r.o",Automotive,"Výroba automobilových komponent, benzínových čerpadel",Industrial Engineer/Průmyslový inženýr,"Václav Douša, HR and GA Senior Manager",Přesnost profilů; Použitelné podklady; Rychlost,full-98.jpg,,ano
