client_display_name,legal_entity_name_if_known,domain,logo_source_url,source_type,original_file,svg_file,png_file,webp_file,mono_light_file,mono_dark_file,confidence_score,permission_status,brand_notes,needs_manual_review,recommended_for_homepage,recommended_for_reference_page
Sécheron Hasler,Sécheron Hasler CZ s.r.o.,secheron.com,https://commons.wikimedia.org/wiki/File:S%C3%A9cheron_logo_h.png,wikimedia,raw/secheron-hasler.png,,web/secheron-hasler.png,web/secheron-hasler.webp,processed/mono-light/secheron-hasler-mono-light.png,processed/mono-dark/secheron-hasler-mono-dark.png,medium,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Swiss railway electrical-equipment brand. Logo is the green/black overlapping-ellipse ""S"" mark + black ""Sécheron"" wordmark — matches the internal Sintera reference (ground truth) exactly in mark, color (green ~#1E7B3E + black) and wordmark. The corporate gr… | ZPRACOVÁNÍ: Zdroj = transparentní PNG (Wikimedia). Ověřit, zda se dnes nepoužívá novější značka „Sécheron Hasler Group"". | Jméno + reference už zveřejněny na sintera.cz/reference",yes,yes,yes
Winning Group,Winning Group a.s.,winninggroup.cz,https://www.winninggroup.cz/wp-content/themes/winning-group/assets/images/winning-logo.svg,official_website,raw/winning-group.svg,web/winning-group.svg,web/winning-group.png,web/winning-group.webp,processed/mono-light/winning-group-mono-light.svg,processed/mono-dark/winning-group-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Correct entity confirmed: Winning Group a.s., Brno-based Czech industrial investment holding (founded 2016 by Sebastian P. Wagner; areas: Construction/Development/Industrial-Automotive/Specialty). The lowercase ""winninggroup"" wordmark in the internal Sinter… | ZPRACOVÁNÍ: Ověřit přesnou entitu (Winning Group a.s.) a oprávnění; logo z winninggroup.cz. „group"" má světlejší odstín (dvoubarevný wordmark)",yes,yes,yes
SITEL,"SITEL, spol. s r.o.",sitel.cz,https://www.sitel.cz/wp-content/uploads/2022/06/logo_Sitel_1.png,official_website,raw/sitel.png,,web/sitel.png,web/sitel.webp,processed/mono-light/sitel-mono-light.png,processed/mono-dark/sitel-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Correct entity confirmed: this is the CZECH telecom / data-center cabling & infrastructure company SITEL, spol. s r.o. (sitel.cz), a systems integrator and operator of communication networks founded 1991, HQ Praha, ~500 employees, regional offices across CZ… | ZPRACOVÁNÍ: Barevný odznak (bílý text na modrém poli) — mono silueta by zničila detail; ponechána originální barva (mono = originál). Spíše na stránku Reference. SITEL spol. s r.o. (kabeláž/datová centra), NE call-centrum Sitel/Foundever. | Jméno + reference už zveřejněny na sintera.cz/reference",no,no,yes
Výzkumný ústav železniční,"Výzkumný Ústav Železniční, a.s. (VUZ)",cdvuz.cz,https://ys-common.s3.amazonaws.com/vuz-web/media/1/2024/07/vuz-logo-footer.png,official_website,raw/vuz.png,,web/vuz.png,web/vuz.webp,processed/mono-light/vuz-mono-light.png,processed/mono-dark/vuz-mono-dark.png,medium,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Official VUZ logo: white italic ""VUZ"" wordmark inside a double-stroke rounded-rectangle (pill) border. Sourced from the official website footer asset (transparent PNG, 500x298, RGBA). IMPORTANT: this is the WHITE/reversed variant (pure white on transparent)… | ZPRACOVÁNÍ: Zdroj = bílé logo z patičky vuz.cz — barva funguje jen na tmavém pozadí; na světlé použij mono-dark. Ideálně získat plnobarevný vektor",yes,no,yes
Adp,,,https://commons.wikimedia.org/wiki/File:Automatic_Data_Processing_(logo).svg,wikimedia,raw/adp.jpg,,web/adp.png,web/adp.webp,processed/mono-light/adp-mono-light.png,processed/mono-dark/adp-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_png, shoda se vzorem: yes). Internal ground-truth is the red merged 'ADP' emblem with a registered mark - this is the unmistakable Automatic Data Processing (ADP) corporate trademark (ADP Red #D0271D, unchanged since 1975). Rendered the official W…",no,no,yes
Aero,,,https://en.wikipedia.org/wiki/File:AERO_Vodochody_logo.svg,wikimedia,raw/aero.jpg,,web/aero.png,web/aero.webp,processed/mono-light/aero-mono-light.png,processed/mono-dark/aero-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_png, shoda se vzorem: yes). 'aero' and 'aero-vodochody' are the SAME company: Aero Vodochody (blue cursive 'Aero | VODOCHODY'). Matches internal ground-truth exactly. Rendered the official Wikimedia SVG (commons 5/57/AERO_Vodochody_logo.svg) to a …",yes,no,yes
Aero Vodochody,,,https://en.wikipedia.org/wiki/File:AERO_Vodochody_logo.svg,wikimedia,raw/aero-vodochody.png,,web/aero-vodochody.png,web/aero-vodochody.webp,processed/mono-light/aero-vodochody-mono-light.png,processed/mono-dark/aero-vodochody-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_png, shoda se vzorem: yes). Same company/asset as 'aero' (Aero Vodochody). 1200x286 transparent PNG rendered from the official Wikimedia SVG via proxy (Wikimedia direct was 429 rate-limited). Visually confirmed to match internal ground-truth (blue…",no,no,yes
Akt,,,(interní) PR SINTERA/Loga klientů/akt.png,other_public_source,raw/akt.png,,web/akt.png,web/akt.webp,processed/mono-light/akt-mono-light.png,processed/mono-dark/akt-mono-dark.png,medium,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit. | mono ponecháno v barvě (plné/odznakové logo),yes,no,yes
Alldest,,,https://alldest.cz/wp-content/uploads/2019/09/Alldest-logo_gray-1.svg,official_website,raw/alldest.jpg,web/alldest.svg,web/alldest.png,web/alldest.webp,processed/mono-light/alldest-mono-light.png,processed/mono-dark/alldest-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). ALL DEST CZ - International Express Transport (alldest.cz), automotive express logistics - correct entity. Official-site vector SVG (8.7KB, valid <svg>/</svg>, viewBox 192x58). Rendered and visually confirmed: 'ALL DEST…",yes,no,yes
Amtek,,,(interní) PR SINTERA/Loga klientů/amtek-logo.png,other_public_source,raw/amtek.png,,web/amtek.png,web/amtek.webp,processed/mono-light/amtek-mono-light.png,processed/mono-dark/amtek-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit,yes,no,yes
Apag,,,(interní) PR SINTERA/Loga klientů/apag.jpg,other_public_source,raw/apag.jpg,,web/apag.png,web/apag.webp,processed/mono-light/apag-mono-light.png,processed/mono-dark/apag-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit,yes,no,yes
Araymond,,,https://www.araymond.com/themes/custom/araymond3_theme/logo.svg,official_website,raw/araymond.png,web/araymond.svg,web/araymond.png,web/araymond.webp,processed/mono-light/araymond-mono-light.png,processed/mono-dark/araymond-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). ARaymond (araymond.com), French industrial fastening group - correct entity. Official-site header vector SVG (12KB, valid <svg>/</svg>, 274x43 viewBox). Rendered and visually confirmed: 'ARaymond' wordmark + blue 'RG' c…",yes,no,yes
Astos Machinery,,,(interní) PR SINTERA/Loga klientů/astos machinery.JPG,other_public_source,raw/astos-machinery.jpg,,web/astos-machinery.png,web/astos-machinery.webp,processed/mono-light/astos-machinery-mono-light.png,processed/mono-dark/astos-machinery-mono-dark.png,medium,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit,yes,no,yes
Aufeerdesign,,,(interní) PR SINTERA/Loga klientů/Aufeerdesign.jpg,other_public_source,raw/aufeerdesign.jpg,,web/aufeerdesign.png,web/aufeerdesign.webp,processed/mono-light/aufeerdesign-mono-light.png,processed/mono-dark/aufeerdesign-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit,yes,no,yes
Autometal,,,(interní) PR SINTERA/Loga klientů/Autometal.jpg,other_public_source,raw/autometal.jpg,,web/autometal.png,web/autometal.webp,processed/mono-light/autometal-mono-light.png,processed/mono-dark/autometal-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit. | nízké rozlišení (551x101),yes,no,yes
Automotive Lighting,,,https://commons.wikimedia.org/wiki/File:Automotive_lighting_logo.svg,wikimedia,raw/automotive-lighting.jpg,web/automotive-lighting.svg,web/automotive-lighting.png,web/automotive-lighting.webp,processed/mono-light/automotive-lighting-mono-light.png,processed/mono-dark/automotive-lighting-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Automotive Lighting (Reutlingen; now Marelli Automotive Lighting). Wikimedia Commons SVG (900x300), validated well-formed. Renders to the exact ground-truth mark: gray 'A' + yellow 'L' (#fab70a) triangular monogram + AU…",no,no,yes
Benteler,,,https://commons.wikimedia.org/wiki/File:Benteler_logo.svg,wikimedia,raw/benteler.jpg,web/benteler.svg,web/benteler.png,web/benteler.webp,processed/mono-light/benteler-mono-light.png,processed/mono-dark/benteler-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). BENTELER International AG. Wikimedia Commons SVG, validated. Renders to blue BENTELER wordmark + the inverted three-triangle mark, matching ground truth exactly (current official version also carries a 'makes it happen'…",yes,no,yes
Best,,,https://www.csad-brno.cz/wp-content/themes/wp/static/images/best-logo.svg,official_website,raw/best.jpg,web/best.svg,web/best.png,web/best.webp,processed/mono-light/best-mono-light.png,processed/mono-dark/best-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Ambiguous name 'Best' resolved via ground truth to BEST TRANSPORT a.s. (best-transport.cz, operated by CSAD Brno-Cernovice). Official site serves a dedicated Adobe-Illustrator SVG (alt='BEST Transport'), validated and r…",no,no,yes
Bombardier,,,https://commons.wikimedia.org/wiki/File:Bombardier_Logo.svg,wikimedia,raw/bombardier.jpg,web/bombardier.svg,web/bombardier.png,web/bombardier.webp,processed/mono-light/bombardier-mono-light.png,processed/mono-dark/bombardier-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Bombardier. Wikimedia Commons SVG, validated well-formed; contains the full black BOMBARDIER wordmark (qlmanage preview crops width but file is complete). Matches the internal Bombardier wordmark logo",yes,no,yes
Bosch,,,https://commons.wikimedia.org/wiki/File:Bosch-logo.svg,wikimedia,raw/bosch.jpg,web/bosch.svg,web/bosch.png,web/bosch.webp,processed/mono-light/bosch-mono-light.png,processed/mono-dark/bosch-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Robert Bosch GmbH. Wikimedia Commons SVG, validated. Renders to the iconic round armature mark + red BOSCH wordmark, matching ground truth exactly",no,no,yes
Bronswerk,,,https://www.bronswerk.com/hubfs/website_assets/logo_tagline.svg,official_website,raw/bronswerk.png,web/bronswerk.svg,web/bronswerk.png,web/bronswerk.webp,processed/mono-light/bronswerk-mono-light.png,processed/mono-dark/bronswerk-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Official Bronswerk Heat Transfer footer logo (vector SVG) from bronswerk.com. Renders as the blue 'BRONSWERK / HEAT TRANSFER' wordmark — exact match to the internal ground-truth mark (same wordmark and blue color; inter…",no,no,yes
Bull,,,https://www.bull.com/hubfs/bull-logo-colour.svg,official_website,raw/bull.jpg,web/bull.svg,web/bull.png,web/bull.webp,processed/mono-light/bull-mono-light.png,processed/mono-dark/bull-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Official Bull logo (vector SVG) from bull.com header. CORRECT company (Bull, the French HPC/IT firm, now part of Atos/Eviden) but this is the CURRENT post-Atos rebrand: navy 'Bull' wordmark with an orange square-tree ic…",yes,no,yes
Busch Výroba,,,https://aiche-philadelphia.org/wp-content/uploads/2022/11/busch_vacuum_solutions_logo.png,other_public_source,raw/busch-vyroba.jpg,,web/busch-vyroba.png,web/busch-vyroba.webp,processed/mono-light/busch-vyroba-mono-light.png,processed/mono-dark/busch-vyroba-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_png, shoda se vzorem: yes). Busch Vacuum Solutions logo, 1205x369 transparent PNG (alpha min 0). Official Wikimedia/official SVG was unreachable (Wikimedia 429 IP throttle on all paths; buschvacuum.com bot-blocked 406; seeklogo gave a white-bg thu…",yes,no,yes
Certicon,,,(interní) PR SINTERA/Loga klientů/certicon.jpg,other_public_source,raw/certicon.jpg,,web/certicon.png,web/certicon.webp,processed/mono-light/certicon-mono-light.png,processed/mono-dark/certicon-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit,yes,no,yes
Cikautxo,,,(interní) PR SINTERA/Loga klientů/cikautxo.jpg,other_public_source,raw/cikautxo.jpg,,web/cikautxo.png,web/cikautxo.webp,processed/mono-light/cikautxo-mono-light.png,processed/mono-dark/cikautxo-mono-dark.png,low,public_reference_confirmed,SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Čistý veřejný zdroj nenalezen — použit interní rastr Sintery (doporučeno vyžádat vektor/transparentní PNG od klienta). Interní logo Sintery (rastr); název odvozen z názvu souboru — ověřit. | nízké rozlišení (180x90),yes,no,yes
Comap,,,https://www.comap-control.com/,official_website,raw/comap.jpg,web/comap.svg,web/comap.png,web/comap.webp,processed/mono-light/comap-mono-light.png,processed/mono-dark/comap-mono-dark.png,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Web zdroj (found_svg, shoda se vzorem: yes). Official ComAp logo extracted as inline header SVG from comap-control.com (Czech control-systems maker; viewBox 0 0 351 80, red accent #E20714). Renders as black 'ComAp' wordmark with the red play-triangle — exact match…",no,no,yes
